City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather Conditions
649,Yugo-Kamskiy,57.7053,55.5894,57.22,77,47,3.96,RU,2021-06-06 19:49:17,scattered clouds
650,Havoysund,70.9963,24.6622,41.88,66,6,8.39,NO,2021-06-06 19:47:21,clear sky
651,Maniitsoq,65.4167,-52.9,41.07,88,100,6.22,GL,2021-06-06 19:49:18,overcast clouds
652,Arlit,18.7369,7.3853,97.39,11,26,14.03,NE,2021-06-06 19:45:34,scattered clouds
653,San Vicente,-26.6167,-54.1333,62.24,92,100,2.66,AR,2021-06-06 19:49:18,light rain
654,Jacareacanga,-6.2222,-57.7528,83.43,66,100,2.57,BR,2021-06-06 19:49:18,overcast clouds
655,Diego De Almagro,-26.3667,-70.05,70.75,25,5,8.61,CL,2021-06-06 19:49:19,clear sky
656,Careiro Da Varzea,-3.2003,-59.8119,90.23,68,100,2.08,BR,2021-06-06 19:49:19,overcast clouds
657,Siniscola,40.5719,9.6922,67.55,89,9,3.38,IT,2021-06-06 19:49:20,clear sky
658,Zarya,55.7553,38.0958,62.98,92,92,4.83,RU,2021-06-06 19:49:20,overcast clouds
659,Jalu,29.0331,21.5482,80.92,19,0,6.78,LY,2021-06-06 19:49:21,clear sky
660,Rehoboth,-23.3167,17.0833,54.12,37,0,6.35,NA,2021-06-06 19:49:21,clear sky
661,Tunceli,39.1083,39.5471,67.06,51,0,3.98,TR,2021-06-06 19:49:21,clear sky
662,Khulo,41.644,42.3129,48.6,95,61,1.63,GE,2021-06-06 19:49:22,broken clouds
663,Nijar,36.9665,-2.206,67.66,83,0,2.28,ES,2021-06-06 19:49:22,clear sky
664,Anuradhapura,8.3565,80.4173,76.8,89,94,8.66,LK,2021-06-06 19:49:22,overcast clouds
665,Nerchinskiy Zavod,51.3088,119.61,51.4,65,2,3.89,RU,2021-06-06 19:49:23,clear sky
666,Saint-Joseph,-21.3667,55.6167,68.36,86,60,11.52,RE,2021-06-06 19:49:23,light rain
667,Islamkot,24.6997,70.177,84.7,69,0,15.23,PK,2021-06-06 19:49:23,clear sky
668,Sabha,27.0377,14.4283,86.31,15,52,11.88,LY,2021-06-06 19:49:24,broken clouds
669,Yurga,55.7231,84.8861,55.78,94,95,9.75,RU,2021-06-06 19:49:24,overcast clouds
670,Jambi,-1.6,103.6167,73.9,96,47,3.04,ID,2021-06-06 19:49:25,scattered clouds
671,Tortoli,39.9256,9.6572,66.02,82,20,5.75,IT,2021-06-06 19:49:25,few clouds
672,Alekseyevsk,57.8406,108.3492,39.61,93,76,3.85,RU,2021-06-06 19:49:25,broken clouds
673,Nabire,-3.3667,135.4833,74.89,91,82,3.09,ID,2021-06-06 19:49:26,broken clouds
