City_ID,City,Country,Max Temp,Current Weather Conditions,Lat,Lng,Hotel Name
383,Brokopondo,SR,82.2,light rain,4.75,-55.1667,Matu Island
384,Kalmunai,LK,81.82,overcast clouds,7.4167,81.8167,VS Villa
388,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
389,Teacapan,MX,88.48,clear sky,22.55,-105.75,Hotel los Mangos
393,Itapora,BR,89.22,broken clouds,-22.0799,-54.7874,Hotel Santa Fé
400,La Sarre,CA,84.43,scattered clouds,48.8002,-79.1996,Motel Villa Mon Repos
427,Channahon,US,88.09,overcast clouds,41.4295,-88.2287,Manor Motel
430,Grajau,BR,86.58,broken clouds,-5.8194,-46.1386,Hotel Confiança
431,Khash,IR,82.22,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
441,Salinopolis,BR,80.98,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
444,Shenzhen,CN,81.21,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
466,Matagami,CA,80.71,clear sky,49.7502,-77.6328,Hôtel Matagami
474,Paragominas,BR,83.03,overcast clouds,-2.9667,-47.4833,INOVA
476,Sioux Lookout,CA,82.78,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
480,Sao Gabriel Da Cachoeira,BR,85.8,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
481,Iralaya,HN,89.69,few clouds,15.0,-83.2333,Iglesia morava renovada
493,Cuyahoga Falls,US,88.39,clear sky,41.1339,-81.4846,Sheraton Suites Akron Cuyahoga Falls
497,Anloga,GH,84.42,light rain,5.7947,0.8973,Pin Drop Hotel
500,Layou,VC,83.68,few clouds,13.2,-61.2667,Grace And Truth Campsite
503,Harindanga,IN,80.58,moderate rain,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
506,Komsomolskiy,UZ,87.22,broken clouds,40.4272,71.7189,Ikathouse
509,Mangrol,IN,84.97,few clouds,21.1167,70.1167,Hotel The Royal Honours
513,Les Cayes,HT,84.25,broken clouds,18.2,-73.75,Villa Orphee
516,Bombay,IN,84.18,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
526,Salobrena,ES,84.9,clear sky,36.7428,-3.5872,Impressive Playa Granada Golf
528,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
545,Santa Isabel Do Rio Negro,BR,85.26,broken clouds,-0.4139,-65.0192,Hotel GSA
549,Gigmoto,PH,80.29,overcast clouds,13.7796,124.39,Cj's Travellers Inn
551,Hirara,JP,80.06,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
554,Pyay,MM,82.4,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
564,Marsh Harbour,BS,80.38,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
568,Cockburn Town,TC,80.15,clear sky,21.4612,-71.1419,Osprey Beach Hotel
569,Contamana,PE,88.93,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
571,Puerto Leguizamo,CO,82.29,broken clouds,-0.1934,-74.7819,la casona de juancho
574,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
575,Dwarka,IN,85.06,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
583,Aguilar De La Frontera,ES,82.8,clear sky,37.5143,-4.6554,CASA RURAL AGUILAR DE LA FRONTERA
585,Spanish Fork,US,87.8,scattered clouds,40.115,-111.6549,Days Inn by Wyndham Springville
586,Bull Savanna,JM,84.27,few clouds,17.8868,-77.5902,Big Red's
593,Abnub,EG,80.82,few clouds,27.2696,31.1511,Romany Adly Gad
599,Basco,PH,83.84,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
601,Leticia,CO,86.05,scattered clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
631,Grandview,US,83.32,overcast clouds,38.8858,-94.53299999999999,Holiday Inn Express & Suites Kansas City-Grandview
633,Ratnagiri,IN,82.53,broken clouds,16.9833,73.3,Hotel Landmark
635,Havelock,US,86.99,broken clouds,34.8791,-76.9013,Sherwood Motel
636,Srivardhan,IN,83.23,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
643,La Asuncion,VE,87.53,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
645,Barahona,DO,87.62,scattered clouds,18.2085,-71.1008,Hotel Caribe
646,Campoverde,PE,87.49,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
654,Jacareacanga,BR,83.43,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
659,Jalu,LY,80.92,clear sky,29.0331,21.5482,صاحبة الفخامة
667,Islamkot,PK,84.7,clear sky,24.6997,70.17699999999999,Haji Hotel
668,Sabha,LY,86.31,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
