City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hilo,US,2021-06-06 16:00:09,19.7297,-155.09,71.28,84,90,3.44
68,Paamiut,GL,2021-06-06 16:01:31,61.994,-49.6678,37.18,98,100,3.33
69,Chapais,CA,2021-06-06 16:01:32,49.7834,-74.8492,71.2,42,43,7.25
70,Grand Baie,MU,2021-06-06 16:01:33,-20.0182,57.5802,73.45,82,62,1.99
71,College,US,2021-06-06 16:01:33,64.8569,-147.8028,56.89,69,47,3.2
72,Deputatskiy,RU,2021-06-06 16:01:34,69.3,139.9,33.04,83,33,2.82
73,Mar Del Plata,AR,2021-06-06 16:00:08,-38.0023,-57.5575,55.99,62,0,9.22
74,Necochea,AR,2021-06-06 16:01:35,-38.5473,-58.7368,57.04,53,40,4.38
75,Tasiilaq,GL,2021-06-06 16:01:36,65.6145,-37.6368,44.76,92,92,3.91
76,Tarko-Sale,RU,2021-06-06 16:01:36,64.9225,77.785,43.0,72,77,1.01
77,El Carrizo,MX,2021-06-06 16:01:37,24.0261,-106.8814,89.08,63,25,1.01
78,Bethel,US,2021-06-06 15:57:40,41.3712,-73.414,91.89,52,6,1.01
79,Cruz,BR,2021-06-06 16:01:37,-2.9178,-40.1717,87.21,58,26,5.06
80,Huaraz,PE,2021-06-06 16:01:38,-9.5333,-77.5333,61.7,53,94,0.89
81,Rudnogorsk,RU,2021-06-06 16:01:39,57.2639,103.7519,41.9,51,35,3.15
82,Sitka,US,2021-06-06 16:01:39,57.0531,-135.33,49.59,82,91,1.66
83,Waingapu,ID,2021-06-06 16:01:40,-9.6567,120.2641,77.32,85,100,7.67
84,Hambantota,LK,2021-06-06 16:01:41,6.1241,81.1185,82.74,89,0,15.99
85,Faanui,PF,2021-06-06 15:56:44,-16.4833,-151.75,80.56,72,2,11.88
86,Suntar,RU,2021-06-06 16:01:41,62.1444,117.6319,49.08,80,100,5.46
87,Korla,CN,2021-06-06 16:01:42,41.7597,86.1469,78.3,31,75,19.06
88,Tuktoyaktuk,CA,2021-06-06 16:01:43,69.4541,-133.0374,34.27,77,12,6.62
89,Severnyy,RU,2021-06-06 16:01:43,50.677,36.5532,62.64,77,75,4.47
90,Matai,TZ,2021-06-06 16:01:44,-8.3,31.5167,58.86,79,95,6.46
91,Salinopolis,BR,2021-06-06 16:01:41,-0.6136,-47.3561,84.72,67,17,7.36
92,Vaini,TO,2021-06-06 16:01:45,-21.2,-175.2,75.6,65,69,15.86
93,Mitzic,GA,2021-06-06 16:01:45,0.7821,11.549,77.47,87,62,1.28
94,Ilulissat,GL,2021-06-06 16:00:51,69.2167,-51.1,39.22,81,20,5.75
95,Aleysk,RU,2021-06-06 16:01:46,52.4926,82.7822,57.15,76,6,5.7
96,Puerto Ayora,EC,2021-06-06 16:01:05,-0.7393,-90.3518,76.55,86,26,7.0
97,Vestmanna,FO,2021-06-06 16:01:47,62.1564,-7.1664,47.32,100,90,15.37
98,Vila Franca Do Campo,PT,2021-06-06 16:01:47,37.7167,-25.4333,68.41,76,99,5.7
99,Saint-Philippe,RE,2021-06-06 16:01:04,-21.3585,55.7679,72.99,83,73,12.57
100,Tommot,RU,2021-06-06 16:01:48,58.9564,126.2925,61.65,65,66,4.81
101,Abay,KZ,2021-06-06 16:01:49,49.6311,72.8539,53.98,41,100,10.33
102,Avarua,CK,2021-06-06 16:01:50,-21.2078,-159.775,68.05,77,90,3.44
103,Nanortalik,GL,2021-06-06 16:01:50,60.1432,-45.2371,45.37,67,100,13.22
104,Antofagasta,CL,2021-06-06 16:01:51,-23.65,-70.4,70.21,54,1,7.99
105,Kapoeta,SS,2021-06-06 16:01:51,4.7717,33.5903,86.95,35,95,13.2
106,Carlsbad,US,2021-06-06 16:01:52,33.1581,-117.3506,66.7,80,90,1.01
107,Kaitangata,NZ,2021-06-06 16:01:53,-46.2817,169.8464,44.2,85,73,2.04
108,Uyuni,BO,2021-06-06 16:01:53,-20.4597,-66.825,46.6,15,52,20.74
109,Alyangula,AU,2021-06-06 16:01:54,-13.8483,136.4192,74.82,81,43,10.31
110,Sungaipenuh,ID,2021-06-06 16:01:55,-2.0833,101.3833,63.46,98,62,1.23
111,Shache,CN,2021-06-06 16:01:55,38.4167,77.2406,85.53,16,54,7.67
112,Lompoc,US,2021-06-06 16:01:29,34.6391,-120.4579,60.48,83,90,3.0
113,Kutum,SD,2021-06-06 16:01:56,14.2,24.6667,92.1,12,8,10.45
114,Barrow,US,2021-06-06 16:01:56,71.2906,-156.7887,30.22,93,90,9.22
115,Upernavik,GL,2021-06-06 16:01:57,72.7868,-56.1549,36.86,82,14,3.58
116,Nhulunbuy,AU,2021-06-06 16:01:57,-12.2333,136.7667,77.61,78,40,8.05
117,Mao,ES,2021-06-06 15:58:52,39.8885,4.2658,75.76,46,0,14.97
118,Saskylakh,RU,2021-06-06 16:01:58,71.9167,114.0833,37.18,67,96,6.04
119,Aksarka,RU,2021-06-06 16:01:59,66.5606,67.7975,42.87,47,77,11.34
120,Adrar,MR,2021-06-06 16:01:59,20.5022,-10.0711,110.1,8,2,20.45
121,Namatanai,PG,2021-06-06 16:02:00,-3.6667,152.4333,79.29,84,100,5.68
122,Nelson Bay,AU,2021-06-06 16:02:00,-32.7167,152.15,53.96,87,1,7.2
123,Qaanaaq,GL,2021-06-06 16:02:01,77.484,-69.3632,39.74,84,84,4.65
124,Leon,MX,2021-06-06 15:57:04,21.1167,-101.6667,78.15,50,95,3.24
125,Luderitz,NA,2021-06-06 16:00:55,-26.6481,15.1594,66.74,42,0,2.04
126,Tsumeb,NA,2021-06-06 16:02:01,-19.2333,17.7167,67.08,25,0,8.41
127,Jablah,SY,2021-06-06 16:02:02,35.3614,35.9256,79.09,44,0,11.5
128,Cape Town,ZA,2021-06-06 15:58:43,-33.9258,18.4232,77.41,26,0,11.72
129,Lorengau,PG,2021-06-06 16:02:02,-2.0226,147.2712,79.41,85,98,12.44
130,Morant Bay,JM,2021-06-06 16:02:03,17.8815,-76.4093,88.63,70,45,15.26
131,Khatanga,RU,2021-06-06 16:02:03,71.9667,102.5,34.21,86,99,4.97
132,Ushtobe,KZ,2021-06-06 16:02:04,45.2514,77.9838,65.21,28,0,15.86
133,Georgetown,MY,2021-06-06 15:57:29,5.4112,100.3354,82.33,85,20,2.3
134,Kot Addu,PK,2021-06-06 16:02:04,30.4692,70.9671,98.46,30,0,10.31
135,Izhma,RU,2021-06-06 16:02:05,65.0083,53.9113,55.45,33,18,8.97
